SPS	1	O jaký druh spojení se jedná, pokud jsou dvě součásti spolu spojené pomocí závrtného šroubu?	A	Spojení se silovým stykem	Spojení s tvarovým stykem	Spojení s materiálovým stykem	Spojení se šroubovým stykem
SPS	2	O jaký druh spojení se jedná, pokud jsou dvě součásti spolu spojené pomocí lícovaného šroubu?	B	Spojení se silovým stykem	Spojení s tvarovým stykem	Spojení s materiálovým stykem	Spojení se šroubovým stykem
SPS	3	Jaký závit mají nejběžněji šrouby (běžně k zakoupení v hobbymarketu)?	A	Jednochodý pravý	Jednochodý levý	Dvouhodý pravý	Dvouhodý levý
SPS	4	Jaké označení má nejmenší průměr závitu šroubu?	D	d	d₁	d₂	d₃
SPS	5	Jaké označení má rozteč (stoupání) závitu?	B	D	P	S	R
SPS	6	Na šroubu je vyroben čtyřchodý závit. Jaký je vztah mezi jeho stoupáním a roztečí?	B	Stoupání je dvakrát větší než rozteč	Stoupání je čtyřikrát větší než rozteč	Rozteč je dvakrát větší než stoupání	Rozteč je čtyřikrát větší než stoupání
SPS	7	Jaký druh závitu je závit s označením Tr48x8?	C	Metrický závit	Trubkový závit	Lichoběžníkový rovnoramenný závit	Lichoběžníkový nerovnoramenný závit
SPS	8	V možnostech jsou uvedeny účely použití podložek ve šroubových spojích. Které možnosti mezi ostatní nepatří?	A	Vytvoření tvarového styku mezi šroubem (maticí) a spojovanou součástí	Pojištění šroubového spoje proti povolení	Zamezení odírání součástí při častém povolování a utahování	Rozdělení tlaku mezi hlavou šroubu a spojovaným materiálem
SPS	9	Pokud je realizováno pojištění šroubového spoje pomocí korunkové matice, pak je nutné zároveň použít i další součást. Kterou?	B	Polymidový kroužek	Závlačku	Podložku s jazýčkem	Stavěcí šroub
SPS	10	Pokud první číslo pevnostní třídy šroubu vynásobíme krát 100, pak vypočítáme materiálu šroubu jeho mez …	A	pevnosti	kluzu	úměrnosti	elasticity
SPS	11	Závit M20x2-6H. O jaký závit se jedná?	B	Levý vnitřní metrický závit	Pravý vnitřní metrický závit	Levý vnější metrický závit	Pravý vnější metrický závit
